Trk,Song,Ragam,Thalam,Composer,Musician,ConcertFolder,FileName,RelativePath,Duration,MainArtist,Type,VocalSupport,Violin,Veena,Flute,Nagasvaram,Mridangam,Tavil,Khanjira,Ghatam,Morsing,Konnakkol,Dholak,Tabla,Narration,Date,Venue,Info,Comments
1,Sree Mahaaganapatiravatu Maam,Gaula,Misra Chapu,Muttusvami Dikshitar,AKCNatarajan,Album-001,01-SreeMahaaganapatiravatuMaam.mp3,AKCNatarajan/Album-001/01-SreeMahaaganapatiravatuMaam.mp3,0:14:49,A K C Natarajan,Clarinet,,,,,,,,,,,,,,,,,,
2,Gaanamoorte,Ganamoorti,Adi,?,AKCNatarajan,Album-001,02-Gaanamoorte.mp3,AKCNatarajan/Album-001/02-Gaanamoorte.mp3,0:06:30,A K C Natarajan,Clarinet,,,,,,,,,,,,,,,,,,
3,Paahi Jagajjanani Santatam,Vachaspati,Adi,Svati Tirunal,AKCNatarajan,Album-001,03-PaahiJagajjananiSantatam.mp3,AKCNatarajan/Album-001/03-PaahiJagajjananiSantatam.mp3,0:32:26,A K C Natarajan,Clarinet,,,,,,,,,,,,,,,,,,
4,Jaanakeeramana Bhaktapaarijaata,Suddhaseemantini,Adi,Thyagaraja,AKCNatarajan,Album-001,04-JaanakeeramanaBhaktapaarijaata.mp3,AKCNatarajan/Album-001/04-JaanakeeramanaBhaktapaarijaata.mp3,0:06:09,A K C Natarajan,Clarinet,,,,,,,,,,,,,,,,,,
5,Elaa Needayaraadu,Atana,Adi,Thyagaraja,AKCNatarajan,Album-001,05-ElaaNeedayaraadu.mp3,AKCNatarajan/Album-001/05-ElaaNeedayaraadu.mp3,0:15:19,A K C Natarajan,Clarinet,,,,,,,,,,,,,,,,,,
6,Evarani,Devamrutavarshini,Adi,Thyagaraja,AKCNatarajan,Album-001,06-Evarani.mp3,AKCNatarajan/Album-001/06-Evarani.mp3,0:11:20,A K C Natarajan,Clarinet,,,,,,,,,,,,,,,,,,
7,Saamagaana Priye,Anandabhairavi,Adi,Periasami Thooran,AKCNatarajan,Album-001,07-SaamagaanaPriye.mp3,AKCNatarajan/Album-001/07-SaamagaanaPriye.mp3,0:22:20,A K C Natarajan,Clarinet,,,,,,,,,,,,,,,,,,
8,Paalvadiyum Mugam,Nattakuranji,Adi,Oottukkadu Venkatasubbayyar,AKCNatarajan,Album-001,08-PaalvadiyumMugam.mp3,AKCNatarajan/Album-001/08-PaalvadiyumMugam.mp3,0:05:46,A K C Natarajan,Clarinet,,,,,,,,,,,,,,,,,,
9,Maamava Pattaabhiraama,Manirang,Misra Chapu,Muttusvami Dikshitar,AKCNatarajan,Album-001,09-MaamavaPattaabhiraama.mp3,AKCNatarajan/Album-001/09-MaamavaPattaabhiraama.mp3,0:07:56,A K C Natarajan,Clarinet,,,,,,,,,,,,,,,,,,
10,Bhaavayaami Raghuraamam,Ragamalika,Rupaka,Svati Tirunal,AKCNatarajan,Album-001,10-BhaavayaamiRaghuraamam.mp3,AKCNatarajan/Album-001/10-BhaavayaamiRaghuraamam.mp3,0:14:36,A K C Natarajan,Clarinet,,,,,,,,,,,,,,,,,,
11,Chinnanchirukkiliye,Ragamalika,Adi (Tisra),Subrahmanya Bharati,AKCNatarajan,Album-001,11-Chinnanchirukkiliye.mp3,AKCNatarajan/Album-001/11-Chinnanchirukkiliye.mp3,0:07:58,A K C Natarajan,Clarinet,,,,,,,,,,,,,,,,,,
12,Taamaraippootta,Hindustanigandhari,Adi,Tiruchi G Thyagarajan,AKCNatarajan,Album-001,12-Taamaraippootta.mp3,AKCNatarajan/Album-001/12-Taamaraippootta.mp3,0:04:36,A K C Natarajan,Clarinet,,,,,,,,,,,,,,,,,,
13,English Note,,,Harikesanallur L Muthayya Bhagavatar,AKCNatarajan,Album-001,13-EnglishNote.mp3,AKCNatarajan/Album-001/13-EnglishNote.mp3,0:02:12,A K C Natarajan,Clarinet,,,,,,,,,,,,,,,,,,
1,Pranamaamyaham,Gaula,Adi,Mysore Vasudevacharya,AKCNatarajan,Album-002,1-Pranamaamyaham.mp3,AKCNatarajan/Album-002/1-Pranamaamyaham.mp3,0:12:40,A K C Natarajan,Clarinet,,,,,,,,,,,,,,,,,,
2,Saarasaaksha,Pantuvarali,Adi,Svati Tirunal,AKCNatarajan,Album-002,2-Saarasaaksha.mp3,AKCNatarajan/Album-002/2-Saarasaaksha.mp3,0:22:01,A K C Natarajan,Clarinet,,,,,,,,,,,,,,,,,,
3,Raama Neeve,Narayani,Adi,Thyagaraja,AKCNatarajan,Album-002,3-RaamaNeeve.mp3,AKCNatarajan/Album-002/3-RaamaNeeve.mp3,0:13:49,A K C Natarajan,Clarinet,,,,,,,,,,,,,,,,,,
4,Nijadaasavarada,Kalyani,Adi,Patnam Subramania Iyer,AKCNatarajan,Album-002,4a-Nijadaasavarada.mp3,AKCNatarajan/Album-002/4a-Nijadaasavarada.mp3,0:12:59,A K C Natarajan,Clarinet,,,,,,,,,,,,,,,,,,
4,Nijadaasavarada,Kalyani,Adi,Patnam Subramania Iyer,AKCNatarajan,Album-002,4b-Nijadaasavarada.mp3,AKCNatarajan/Album-002/4b-Nijadaasavarada.mp3,0:16:26,A K C Natarajan,Clarinet,,,,,,,,,,,,,,,,,,
5,Raamaabhiraama Ramaneeya Naama,Darbar,Misra Chapu,Thyagaraja,AKCNatarajan,Album-002,5-RaamaabhiraamaRamaneeyaNaama.mp3,AKCNatarajan/Album-002/5-RaamaabhiraamaRamaneeyaNaama.mp3,0:12:24,A K C Natarajan,Clarinet,,,,,,,,,,,,,,,,,,
6,Ragam,Bhairavi,,,AKCNatarajan,Album-002,6-Ragam.mp3,AKCNatarajan/Album-002/6-Ragam.mp3,0:27:52,A K C Natarajan,Clarinet,,,,,,,,,,,,,,,,,,
7,Maadhava Maamava,Neelambari,Adi,Narayana Teertha,AKCNatarajan,Album-002,7-MaadhavaMaamava.mp3,AKCNatarajan/Album-002/7-MaadhavaMaamava.mp3,0:08:06,A K C Natarajan,Clarinet,,,,,,,,,,,,,,,,,,
1,Jnaanavinaayakane,Gambhiranattai,Adi,Saravanabhavananda,AKCNatarajan,Album-003,01-Jnaanavinaayakane.mp3,AKCNatarajan/Album-003/01-Jnaanavinaayakane.mp3,0:06:56,A K C Natarajan,Clarinet,,M Chandrasekaran,,,,?,,,,,,,,,,,,
2,Emani Pogadudura,Veeravasantam,Adi,Thyagaraja,AKCNatarajan,Album-003,02-EmaniPogadudura.mp3,AKCNatarajan/Album-003/02-EmaniPogadudura.mp3,0:03:31,A K C Natarajan,Clarinet,,M Chandrasekaran,,,,?,,,,,,,,,,,,
3,Kaaranam Kettu Vaadi,Poorvikalyani,Adi,Gopalakrishna Bharati,AKCNatarajan,Album-003,03-KaaranamKettuVaadi.mp3,AKCNatarajan/Album-003/03-KaaranamKettuVaadi.mp3,0:13:52,A K C Natarajan,Clarinet,,M Chandrasekaran,,,,?,,,,,,,,,,,,
4,?,Kalyani,Adi,?,AKCNatarajan,Album-003,04a.mp3,AKCNatarajan/Album-003/04a.mp3,0:21:17,A K C Natarajan,Clarinet,,M Chandrasekaran,,,,?,,,,,,,,,,,,
4,?,Kalyani,Adi,?,AKCNatarajan,Album-003,04b.mp3,AKCNatarajan/Album-003/04b.mp3,0:21:15,A K C Natarajan,Clarinet,,M Chandrasekaran,,,,?,,,,,,,,,,,,
5,Naada Loludai,Kalyanavasantam,Rupaka,Thyagaraja,AKCNatarajan,Album-003,05-NaadaLoludai.mp3,AKCNatarajan/Album-003/05-NaadaLoludai.mp3,0:20:27,A K C Natarajan,Clarinet,,M Chandrasekaran,,,,?,,,,,,,,,,,,
6,RTP,Todi,Adi,,AKCNatarajan,Album-003,06a-RTP-Todi.mp3,AKCNatarajan/Album-003/06a-RTP-Todi.mp3,0:13:21,A K C Natarajan,Clarinet,,M Chandrasekaran,,,,?,,,,,,,,,,,,
6,RTP,Todi,Adi,,AKCNatarajan,Album-003,06b-RTP-Todi.mp3,AKCNatarajan/Album-003/06b-RTP-Todi.mp3,0:24:58,A K C Natarajan,Clarinet,,M Chandrasekaran,,,,?,,,,,,,,,,,,
7,Alaipaayude,Kaanada,Adi,Oottukkadu Venkatasubbayyar,AKCNatarajan,Album-003,07-Alaipaayude.mp3,AKCNatarajan/Album-003/07-Alaipaayude.mp3,0:06:09,A K C Natarajan,Clarinet,,M Chandrasekaran,,,,?,,,,,,,,,,,,
